<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.04.25	16641.89	16670.09	16507.99	16537.59	16060	0	0
2014.04.28	16561.69	16676.39	16484.29	16622.19	22569	0	0
2014.04.29	16650.09	16734.89	16644.09	16709.29	20046	0	0
2014.04.30	16698.59	16767.89	16674.79	16757.39	20950	0	0
2014.05.01	16761.29	16778.89	16698.79	16729.89	12002	0	0
2014.05.02	16734.59	16792.39	16661.29	16688.49	20867	0	0
2014.05.05	16689.59	16724.39	16549.09	16699.49	14548	0	0
2014.05.06	16698.29	16727.79	16574.59	16574.59	16081	0	0
2014.05.07	16596.59	16696.49	16530.09	16692.49	21110	0	0
2014.05.08	16685.79	16797.29	16664.69	16727.59	22969	0	0
2014.05.09	16714.69	16763.79	16672.19	16759.09	21473	0	0
2014.05.12	16766.99	16878.59	16762.99	16868.59	13317	0	0
2014.05.13	16889.99	16914.49	16877.09	16889.89	16171	0	0
2014.05.14	16889.09	16909.89	16766.99	16791.09	15088	0	0
2014.05.15	16791.89	16827.69	16570.29	16624.49	21560	0	0
2014.05.16	16625.99	16674.39	16581.09	16670.19	19316	0	0
2014.05.19	16711.79	16716.69	16591.19	16688.29	15157	0	0
2014.05.20	16678.59	16710.29	16515.09	16547.39	18968	0	0
2014.05.21	16536.79	16719.09	16532.69	16704.69	17227	0	0
2014.05.22	16699.59	16757.49	16660.19	16718.69	14673	0	0
2014.05.23	16725.69	16787.59	16716.29	16781.59	10872	0	0
2014.05.26	16799.99	16843.69	16783.29	16833.59	3326	0	0
2014.05.27	16826.39	16863.89	16813.59	16849.49	11747	0	0
2014.05.28	16849.29	16885.49	16793.39	16810.19	13035	0	0
2014.05.29	16818.39	16869.69	16794.69	16869.69	12267	0	0
2014.05.30	16862.19	16893.79	16821.69	16889.79	12516	0	0
2014.06.02	16902.79	16932.09	16854.79	16917.09	12605	0	0
2014.06.03	16909.09	16911.59	16863.09	16896.29	11460	0	0
2014.06.04	16895.79	16917.09	16846.29	16908.09	10157	0	0
2014.06.05	16906.59	17020.79	16880.19	17006.59	15571	0	0
2014.06.06	16998.99	17098.39	16996.49	17094.69	13139	0	0
2014.06.09	17115.69	17143.59	17089.39	17112.49	8041	0	0
2014.06.10	17108.49	17120.99	17070.49	17120.99	9644	0	0
2014.06.11	17124.49	17124.49	16995.49	17023.09	10192	0	0
2014.06.12	17025.89	17051.89	16876.79	16905.89	11819	0	0
2014.06.13	16933.49	16963.19	16884.49	16943.19	14018	0	0
2014.06.16	16934.19	16976.99	16870.19	16952.89	12656	0	0
2014.06.17	16953.39	17005.89	16899.89	16985.79	12754	0	0
2014.06.18	16979.79	17085.89	16913.99	17076.89	13142	0	0
2014.06.19	17070.49	17097.49	17032.29	17089.89	11544	0	0
2014.06.20	17082.39	17153.39	17071.89	17125.49	9057	0	0
2014.06.23	17110.99	17169.99	17069.09	17106.99	11871	0	0
2014.06.24	17079.99	17144.19	16978.29	16998.39	11327	0	0
2014.06.25	17006.39	17057.79	16957.39	17041.39	12883	0	0
2014.06.26	17031.99	17054.99	16920.39	17020.69	11395	0	0
2014.06.27	17018.79	17036.99	16948.09	17028.29	12221	0	0
2014.06.30	17023.39	17045.59	16976.19	16998.99	11434	0	0
2014.07.01	17013.09	17172.99	17002.79	17132.49	10865	0	0
